0.400000;0.02;0.01;0.01
0.800000;0.03;0.01;0.02
1.200000;0.07;0.02;0.04
1.600000;0.07;0.03;0.05
2.000000;0.06;0.03;0.04
2.400000;0.08;0.04;0.04
2.800000;0.10;0.05;0.05
3.200000;0.12;0.06;0.05
3.600000;0.12;0.07;0.05
4.000000;0.12;0.07;0.05
4.400000;0.14;0.09;0.06
4.800000;0.14;0.09;0.05
5.200000;0.16;0.10;0.06
5.600000;0.16;0.10;0.06
6.000000;0.17;0.12;0.06
6.400000;0.18;0.12;0.06
6.800000;0.18;0.12;0.05
7.200000;0.19;0.13;0.06
7.600000;0.21;0.15;0.06
8.000000;0.20;0.15;0.06
8.400000;0.22;0.16;0.06
8.800000;0.22;0.17;0.06
9.200000;0.23;0.18;0.06
9.600000;0.23;0.18;0.06
10.000000;0.24;0.18;0.05
10.400000;0.25;0.19;0.06
10.800000;0.25;0.19;0.05
11.200000;0.25;0.19;0.06
